eps,eta,N_LZ,Tstat_LZ,N_XNT,Tstat_XNT,N_PANDA,Tstat_PANDA
-3.0,-1.5707963267948966,2939.4700995128014,68.48344268100425,1487.7370899998077,68.47279355379924,467.1304834582888,68.41860073695341
-2.6658714488230206,-1.5707963267948966,2309.4354282359536,68.21848377905532,1168.3529534774405,68.20026942276802,366.9475898931931,68.10941092766865
-2.368956860549917,-1.5707963267948966,1812.9461403078096,67.8782002532291,917.0880338341576,67.84801151621572,288.1142359166334,67.69368708214903
-2.1051114860111477,-1.5707963267948966,1421.5797543133128,67.43957564835813,718.9405191249525,67.3891230686752,226.07320188628887,67.12386731474211
-1.8706522023821734,-1.5707963267948966,1113.6419040978717,66.87303479509748,563.0411343785761,66.78848751374417,177.06617210683916,66.3172889429993
-1.6623060990028473,-1.5707963267948966,871.1013435237865,66.13706896961253,440.73171012657383,65.99854811482906,138.4640242704231,65.13029329317494
-1.4771647895120215,-1.5707963267948966,680.6136546622814,65.17850905743325,344.20554005733584,64.94206350349006,108.21170647599808,63.289629557794
-1.3126438125222553,-1.5707963267948966,531.225575574865,63.9247916021249,268.60494494646383,63.52074629035871,84.35450231348544,60.20807450439764
-1.166446554092426,-1.5707963267948966,414.03743035650007,62.27372958093377,209.30627607129682,61.57648717474994,65.78913755311845,55.07063728253813
-1.0365321883776653,-1.5707963267948966,322.34577604458224,60.08961983618869,162.9589206752038,58.88094113644752,51.200719468089495,47.65084944577754
-0.9210871889273549,-1.5707963267948966,250.74063336769694,57.18840408321882,126.783730252487,55.09898310978484,39.850101254674605,39.08370942044482
-0.8185000129460304,-1.5707963267948966,195.044168097455,53.34204287949865,98.59662297403052,49.825533366793024,30.98713927944034,30.573308505843322
-0.7273386051246984,-1.5707963267948966,151.8653071735109,48.300820047247484,76.70996273891751,42.854323985580876,24.12983555992429,22.96018841833583
-0.6463304070095649,-1.5707963267948966,118.38153430626288,41.87371920897009,59.81885038614219,34.63662569693153,18.803394461747867,16.543731062798653
-0.5743445928509872,-1.5707963267948966,92.66552355748912,34.24428362223178,46.79410114623423,26.16536605390663,14.725294820142693,11.460172485836958
-0.5103762839557767,-1.5707963267948966,72.91655585935285,26.027366927402685,36.81778793251981,18.462361464538624,11.575969197398893,7.558688659194848
-0.4535325211846986,-1.5707963267948966,57.827728007723366,18.18008157044556,29.183509822303733,12.10204464795219,9.1923150883889,4.736508929218349
-0.40301979977966995,-1.5707963267948966,46.35390014790124,11.528039280193035,23.420081365060252,7.322404794070015,7.369030949468658,2.7593924841227606
-0.35813299251433084,-1.5707963267948966,37.77355869191182,6.550288054826653,19.055192801318274,3.986001197056214,5.997916854254084,1.4662872214864755
-0.3182455065418344,-1.5707963267948966,31.34973014346939,3.202333566580789,15.795246071619804,1.8779595726996021,4.979790709428626,0.6849569308749374
-0.2828005365353655,-1.5707963267948966,26.557207926106635,1.226730072593119,13.406179600886592,0.7075024562605784,4.221922661511525,0.2553180961861831
-0.2513032920204875,-1.5707963267948966,23.105144230812645,0.29422216341427,11.643168106093515,0.16048504351075876,3.657032380055806,0.056558787433713446
-0.22331409039755062,-1.5707963267948966,20.605004157235996,0.00716120477069661,10.38799241717214,0.0029552893897188508,3.2636019288844476,0.0011590809466955376
-0.19844221923690444,-1.5707963267948966,18.857955639786358,0.06991644666439756,9.506966034349553,0.043393670469957096,2.991756177179803,0.013686512142434751
-0.17634048216824733,-1.5707963267948966,17.657456581409082,0.2707935862899511,8.91146614432809,0.15723467380225062,2.7937778832469733,0.05435184506517145
-0.15670035222800524,-1.5707963267948966,16.898141064695988,0.47587690983079634,8.510887420565243,0.2793753522517094,2.678849315329939,0.09194574966451263
-0.13924766500838334,-1.5707963267948966,16.44115756311776,0.6318265439637849,8.287972731615394,0.3649066791606185,2.6015871179200314,0.12358004322006003
-0.12373879148704055,-1.5707963267948966,16.201485817657513,0.7240724954671076,8.181347843028487,0.41054494457958657,2.564642583143298,0.14062397259522197
-0.10995723711238882,-1.5707963267948966,16.133006703610853,0.7517992768327307,8.146300602822933,0.4262356881007347,2.5603135333959526,0.14270489067021502
-0.09771061966979347,-1.5707963267948966,16.18502721425597,0.7306802048947724,8.169201808414936,0.4159437168183978,2.5642399135173606,0.14081678208712475
-0.0868279837415025,-1.5707963267948966,16.313737913185896,0.6799476634825748,8.236665529605123,0.3864764742241598,2.5818649378922314,0.13252032221266355
-0.07715741427178036,-1.5707963267948966,16.491993712094697,0.6132031401303782,8.331696940160285,0.34708977008519304,2.613559738150946,0.11832731794222058
-0.06856391592404971,-1.5707963267948966,16.703163527697523,0.5392911020082409,8.441364992557169,0.3046484917347737,2.6502215745486204,0.10304851060738571
-0.06092752862714207,-1.5707963267948966,16.93432655481746,0.46460771361158637,8.558360406615117,0.26283116384429384,2.686735615339302,0.08901233238201409
-0.0541416530048151,-1.5707963267948966,17.174354240026002,0.3937309103907713,8.678508551158195,0.22349485570763036,2.7230901434718535,0.07617581379230212
-0.04811156231253989,-1.5707963267948966,17.414327257757268,0.3294433794088115,8.798755065988564,0.18767707362929115,2.7599935275826466,0.06427519809571575
