# ER[keVee],Counts[1/keV]
0.5, 0.0
1.4947082929934599, 48.4226115480343
2.4805042373443325, 90.67032709557341
3.491940867274084, 93.32988510320375
4.469160444379604, 95.57777748305726
5.48059707430936, 98.23733549068757
6.4756325070843435, 97.39207702815614
7.487820674350031, 96.54646490099601
8.48250244249634, 97.35069826660124
9.494292737054769, 98.36076444609486
10.489283961751172, 97.72169246208051
11.484496226840493, 96.05168808548073
12.479487451536892, 95.41261610146638
13.491719826881168, 94.36081749578918
14.486622635420398, 94.13411846880898
15.481525443959631, 93.90741944182881
16.49344836275381, 94.2989261857712
17.488351171293047, 94.07222715879098
18.500185673930055, 94.87610685976755
19.4950442743907, 94.85559431130446
