# ER[keVee],Counts[1/keV]
0.5,0.117927
1.5,11.0437
2.5,48.9237
3.5,37.5381
4.5,24.5112
5.5,26.3735
6.5,22.9720
7.5,21.7589
8.5,22.1278
9.5,22.9255
10.5,22.9099
11.5,22.3917
12.5,21.9917
13.5,22.2276
14.5,22.3155
15.5,22.5070
16.5,22.5063
17.5,22.6090
18.5,22.7118
19.5,22.9181
