energy,total_efficiency
0.5,8.97886922165129e-05
0.6,0.00037907212945097635
0.7,0.0010279357859017898
0.8,0.002165933309018108
0.9,0.0038032533250391826
1.0,0.006084418264857835
1.1,0.009072894560675317
1.2000000000000002,0.01277752932383633
1.3,0.017214952254113472
1.4,0.02239260199846569
1.5,0.028176430707187967
1.6,0.03452867451054058
1.7000000000000002,0.04137634184800435
1.8,0.04861274091158598
1.9000000000000001,0.05605903806299385
2.0,0.06368462566152462
2.1,0.07150883957646087
2.2,0.07925335653950603
2.3,0.08685532409275133
2.4000000000000004,0.09430518451280276
2.5,0.10155265342192193
2.6,0.10856513252360293
2.7,0.11526135336892877
2.8000000000000003,0.12152020442303986
2.9000000000000004,0.1274464450828954
3.0,0.13288788739447147
3.1,0.1379325766058385
3.2,0.1424652689614228
3.3000000000000003,0.14651392059177973
3.4000000000000004,0.1500092011883445
3.5,0.15297268356506372
3.6,0.15540889458366483
3.7,0.15731868458134704
3.8000000000000003,0.15869703244466205
3.9000000000000004,0.15957194053706644
4.0,0.15982333544283697
4.1,0.1596465146734146
4.2,0.1589475532463216
4.300000000000001,0.15770488058359758
4.4,0.1560994032386681
4.5,0.15400156030992726
4.6000000000000005,0.15152317540724433
4.7,0.14862577647780134
4.8,0.14544250671186365
4.9,0.14193036264255135
5.0,0.13811529215065463
