B0,,nu_xent_exp,,observed,
X,Y,X,Y,X,Y
1.05415094371428,1.6038170154923606,1.529518700375199,1.275806178929038,1.0535332181596573,1.7022465307037251
1.235729776745842,2.999506273721437,2.713821587157348,2.3637790948351096,3.018913492547803,10.748489351803336
1.4426749385709066,4.8603990459257105,4.454045844154628,2.4546320210957333,5.091975250003632,9.884364771025382
1.5970376096773968,6.6482824466607156,6.19446331389679,2.455930840103008,7.0254117351563785,13.736553902730442
1.7517348250736333,8.28110456909593,7.9348807836389526,2.4572296591102756,9.019580061536892,9.439534625362384
2.064297587080816,10.078227295950832,9.67541632783632,2.4038009681293957,13.033420223445528,9.024619580707132
3.1694530197298434,11.183554473261893,11.415715723123277,2.459827297124818,17.03888802124006,12.490295302944034
4.909201400892503,11.49497584886872,13.156133192865443,2.4611261161320925,11.035452131813233,15.08283005228008
6.649243179186282,11.670407654201945,14.89662580089728,2.4275983378741657,15.041885971620932,18.100745301414044
8.38892000007306,12.014997217680381,16.63720428126018,2.3542687341703186,18.975029424029675,15.088755109960843
10.127094055166303,13.056118726462635,18.37762175100234,2.3555675531775933,21.00867666734828,12.493257831784412
11.868499056715645,12.599696552841685,20.118039220744503,2.356866372184861,22.997306352853297,10.763398600206564
13.609034600913013,12.546267861860798,21.858456690486666,2.3581651911921355,25.016076549169146,15.063412607815437
15.349011974958504,12.751551036278478,23.598874160228828,2.359464010199403,26.999038788196923,15.960414818441514
17.088946412838457,12.976735123419118,25.33939897038481,2.3110105473992633,28.982065430025575,16.82756633086072
18.828966723049472,13.162117385113831,27.079945248623563,2.2526066282376362,31.00457098879234,19.39623984247156
20.568911894970807,13.382326244073724,28.820362718365725,2.253905447244911,32.992234632284195,18.114141083996643
22.30886780093353,13.597559874852884,30.560780188107895,2.2552042662521785,34.97526127411285,18.981292596415862
24.048802238813483,13.822743961993524,32.346403306414786,2.2565368208180843,36.93967550648783,28.47529589061842
25.788736676693436,14.047928049134157,34.04161512759222,2.257801904266728,38.9264375107674,27.61110690703959
27.528671114573388,14.273112136274797,35.78217213987236,2.1944227569243466,40.944306067870954,32.329030689544545
29.268090318466992,14.737107176091037,37.40402138850453,2.1508559664635456,42.978790547600966,29.345474334678897
30.848068457008967,15.767054547794217,39.26310368572912,2.1522433413122215,44.99446940947465,15.078321856218665
32.190148632728466,17.060235499828288,40.94418874173007,2.1534978823987956,46.97556396727697,16.840994314843762
33.76829244286532,18.94039408730707,42.743938625213445,2.1548409793267638,48.95208592621698,20.723066346156124
34.63562409684454,20.274570490188793,44.4843560949556,2.1561397983340385,50.938847930496536,19.85887736257729
35.34474385247755,21.604980317949433,46.22495067638057,2.075347352359074,52.97623053626607,15.53203958840281
35.974877701300244,22.877867222994908,47.96542718335034,2.0492824163722645,54.951786453192895,19.86187209281811
36.60501155012294,24.150754128040383,49.7058446530925,2.050581235379539,56.941253375109326,17.74395378455104
37.314095883419384,25.497582208797468,51.44626212283467,2.0518800543868068,58.96202005825238,21.118596147747176
38.2607358999235,26.739823310688614,53.18667959257682,2.0531788733940814,60.93660993316604,25.89618912526541
39.9181364852935,28.551957306897826,54.927118530401756,2.044527236039862,62.93213071836503,40.972305185551754
41.41944379095652,29.378344988702793,56.6677292128888,1.9562719477938018,64.93376976964738,33.212604916187615
42.608802411229775,28.1229854314796,58.2301709094901,1.9474874766774803,66.90372264289785,40.13944816459998
43.16550378845203,26.764332194033592,60.14858562045589,1.9489191294468569,68.9661579382088,24.20068878795587
43.64319367606534,25.360013661036525,61.88900309019806,1.9502179484541315,70.95671970774015,21.575308610172137
44.121040996285586,23.882725114721907,63.629420559940215,1.9515167674613991,72.99126859027106,18.561901557099617
44.598888316505835,22.40543656840729,65.36991316797206,1.9179889892034723,74.97429523209968,19.429053069518837
45.07646012966394,21.055845545398377,67.11049164833496,1.8446593854996252,76.96389095961788,17.251433364838043
45.63307295104478,19.738237940443483,68.85090911807713,1.8459582045068998,78.94498551742024,19.014105823463133
46.427094143693935,18.384322440512634,70.5913265878193,1.8472570235141674,80.96839271539928,21.16486956017789
